Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C18, C2, C3, C30, C33",0603,7,100nF,C14663
"C10, C12, C13, C14, C17, C26, C29, C31, C32, C8, C9",0603,11,10µF,C19702
"C15, C16",0603,2,1nF,C1588
C19,0603,1,4.7µF,C19666
"C27, C28, C4, C5, C6, C7",0603,6,1µF,C15849
D1,0805,1,LED, C84256
"D10, D2, D3, D4, D6, D7, D8, D9",0805,8,LED,C2297
D5,D_SOD-323,1,1N5819WS,C191023
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB,C393939
J10,PinHeader_2x03_P2.54mm_Vertical,1,PTT,C65114
J11,PinHeader_2x03_P2.54mm_Vertical,1,FSK,C65114
J2,PinHeader_1x02_P2.54mm_Vertical,1,CI-V,C41430884
J7,PinHeader_2x03_P2.54mm_Vertical,1,CAT_1,C65114
J8,PinHeader_2x03_P2.54mm_Vertical,1,CAT_2,C65114
J9,PinHeader_2x03_P2.54mm_Vertical,1,CW,C65114
"Q1, Q2, Q3",SOT-23,3,2N7002,C8545
"R1, R2",0603,2,5K1,C23186
"R10, R11, R12, R14, R16, R17, R18, R8, R9",0603,9,"2,7k",C13167
"R13, R7",0603,2,"1,5k",C22843
R15,0603,1,12k,C22790
"R3, R4, R5, R6",0603,4,22,C23345
"RJ1, RJ2",RJ456-TH_HX-RJ45-90-5631-1X1-8P8C,2,HX-RJ45 90 5631-1X1 8P8C,C25168869
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM4160,C57791
U2,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,C9359
U3,LQFP-48_7x7mm_P0.5mm,1,CM108B,C371347
U5,SOT-223-3_TabPin2,1,AMS1117-5.0, C6187
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX232IDR,
U7,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,CP2105,C109102
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
