Designator,Mid X,Mid Y,Rotation,Layer
C1,16.5,36.98,90.0,top
C10,34.6,32.625,90.0,top
C11,33.1,32.625,90.0,top
C12,44.35,29.375,0.0,top
C13,42.1,32.625,270.0,top
C14,39.1,32.625,270.0,top
C15,36.1,32.625,270.0,top
C16,40.6,32.625,270.0,top
C17,65.9,45.2,90.0,top
C18,63.9,45.2,90.0,top
C19,45.3,9.0,180.0,top
C2,16.5,21.205,270.0,top
C26,37.6,32.625,270.0,top
C27,36.75,5.8,0.0,top
C28,36.75,7.5,0.0,top
C29,26.025,20.2075,90.0,top
C3,19.0,21.205,270.0,top
C30,29.5,20.17,90.0,top
C31,21.3,13.135,90.0,top
C32,21.3,9.135,90.0,top
C33,24.275,20.2075,90.0,top
C4,61.5,8.865,90.0,top
C5,61.5,11.865,90.0,top
C6,56.075,6.25,180.0,top
C7,61.5,14.865,270.0,top
C8,64.9,42.2,180.0,top
C9,31.95,27.2,0.0,top
D1,84.6,19.6,90.0,top
D10,44.0,17.15,270.0,top
D2,84.6,12.2,90.0,top
D3,84.6,26.8,90.0,top
D4,18.4,42.3,270.0,top
D5,71.715,36.8,180.0,top
D6,84.6,34.0,270.0,top
D7,50.15,17.15,270.0,top
D8,46.05,17.15,270.0,top
D9,48.1,17.15,270.0,top
J1,14.75,49.75,180.0,top
J10,71.245,18.75,0.0,top
J11,71.245,8.75,0.0,top
J2,65.77,37.7,270.0,top
J7,63.23,28.8,0.0,top
J8,54.877,28.79,0.0,top
J9,71.245,28.75,0.0,top
Q1,81.8,23.4375,270.0,top
Q2,81.85,16.1875,270.0,top
Q3,81.85,30.8125,270.0,top
R1,13.0,42.455,90.0,top
R10,81.95,34.95,0.0,top
R11,82.0,27.75,180.0,top
R12,49.6,32.625,270.0,top
R13,31.95,25.7,180.0,top
R14,27.775,20.2075,270.0,top
R15,43.6,32.625,270.0,top
R16,46.6,32.625,270.0,top
R17,48.1,32.625,270.0,top
R18,45.1,32.625,270.0,top
R2,16.0,42.455,90.0,top
R3,13.25,36.955,270.0,top
R4,11.5,36.955,270.0,top
R5,12.85,21.205,270.0,top
R6,14.6,21.205,270.0,top
R7,81.85,20.5,180.0,top
R8,82.0,13.15,180.0,top
R9,18.5,39.1,270.0,top
RJ1,52.3225,46.4675,180.0,top
RJ2,33.1125,46.4675,180.0,top
U1,14.555,29.105,180.0,top
U2,25.6,12.9175,90.0,top
U3,39.4375,24.625,0.0,top
U5,71.75,44.2,180.0,top
U6,56.075,12.365,90.0,top
U7,41.0,8.75,0.0,top
Y1,30.9,8.995,90.0,top
